AK-1,R+15.52,1.16,,,
AL-1,R+28.78,0.9,,,
AL-2,R+31.15,0.97,,,
AL-3,R+31.55,0.79,,,
AL-4,R+60.1,0.86,,,
AL-5,R+32.99,1,,,
AL-6,R+47.44,0.78,,,
AL-7,D+41.48,0.85,,,
AR-1,R+31.56,1.06,,,
AR-2,R+11.2,0.97,,,
AR-3,R+32.36,1,,,
AR-4,R+30.69,0.97,,,
AZ-1,R+3.79,1.05,,,
AZ-2,D+0.54,0.94,,,
AZ-3,D+25.82,1.08,,,
AZ-4,R+41.24,1.12,,,
AZ-5,R+26.08,1.1,,,
AZ-6,R+15.81,1.09,,,
AZ-7,D+45.47,1.13,,,
AZ-8,R+24.61,1.01,,,
AZ-9,D+10.13,0.95,,,
CA-1,R+23.88,1.11,,,
CA-10,R+2.2,1.08,,,
CA-11,D+39.96,1,,,
CA-12,D+71.11,0.83,,,
CA-13,D+75.62,0.79,,,
CA-14,D+51.09,0.83,,,
CA-15,D+38.07,0.82,,,
CA-16,D+15.44,1,,,
CA-17,D+46.06,0.89,,,
CA-18,D+43.52,0.98,,,
CA-19,D+44.13,0.92,,,
CA-2,D+39.35,0.76,,,
CA-20,D+41.28,0.88,,,
CA-21,D+8.65,0.93,,,
CA-22,R+16.7,1.04,,,
CA-23,R+28.41,1.03,,,
CA-24,D+11.76,0.97,,,
CA-25,R+1.54,0.97,,,
CA-26,D+12.66,1.18,,,
CA-27,D+29.02,0.87,,,
CA-28,D+42.74,0.82,,,
CA-29,D+54.59,1.07,,,
CA-3,D+6.74,1,,,
CA-30,D+34.82,0.88,,,
CA-31,D+14.24,0.93,,,
CA-32,D+31.62,0.85,,,
CA-33,D+30.24,1.01,,,
CA-34,D+67.03,1.01,,,
CA-35,D+34.28,0.85,,,
CA-36,D+1.53,1.03,,,
CA-37,D+70.35,0.81,,,
CA-38,D+31.82,0.85,,,
CA-39,R+0.9,0.95,,,
CA-4,R+21.27,1.11,,,
CA-40,D+63.3,1.05,,,
CA-41,D+21.69,0.93,,,
CA-42,R+18.39,1.04,,,
CA-43,D+55.65,0.97,,,
CA-44,D+66.27,0.79,,,
CA-45,R+5.73,0.95,,,
CA-46,D+28.75,0.85,,,
